query,wiki_id
The Day a Pig Fell Into the Well 1996 film Hong Sang-soo,3603641
Repulsion 1965 film Roman Polanski,1001142
Madonna: Truth or Dare 1991 film Alek Keshishian,5461236
By the Stream 2024 film Hong Sang-soo,77327003
Our Sunhi 2013 film Hong Sang-soo,40284801
Prom Night 1980 film Paul Lynch,2497347
The Prowler 1981 film Joseph Zito,9489391
"Suddenly, Last Summer 1959 film Joseph L. Mankiewicz",7771844
"Red, White and Blue 2020 film Steve McQueen",65968147
Diabolique 1955 film Henri-Georges Clouzot,152749
Simple Men 1992 film Hal Hartley,6394318
The Unbelievable Truth 1990 film Hal Hartley,7760868
Kwaidan 1965 film Masaki Kobayashi,1268511
I Know What You Did Last Summer 1997 film Jim Gillespie,255049
Trust 1990 film Hal Hartley,4056928
